DEBUG | 2023-02-05 15:31:34,098 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:31:34,304 | connectionpool.py | https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:31:34,355 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:31:34,588 | connectionpool.py | https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:43:56,330 | connectionpool.py | Starting new HTTPS connection (1): s3.amazonaws.com:443
DEBUG | 2023-02-05 15:43:56,542 | connectionpool.py | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/metrics/evaluate-metric/bleu/evaluate-metric/bleu.py HTTP/1.1" 404 0
DEBUG | 2023-02-05 15:43:56,548 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:43:56,769 | connectionpool.py | https://huggingface.co:443 "HEAD /spaces/evaluate-metric/bleu/resolve/v0.4.0/bleu.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:43:56,784 | connectionpool.py | Starting new HTTPS connection (1): github.com:443
DEBUG | 2023-02-05 15:43:57,083 | connectionpool.py | https://github.com:443 "HEAD /tensorflow/nmt/raw/master/nmt/scripts/bleu.py HTTP/1.1" 302 0
DEBUG | 2023-02-05 15:43:57,085 | connectionpool.py | Starting new HTTPS connection (1): raw.githubusercontent.com:443
DEBUG | 2023-02-05 15:43:57,237 | connectionpool.py | https://raw.githubusercontent.com:443 "HEAD /tensorflow/nmt/master/nmt/scripts/bleu.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:43:57,243 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:43:57,444 | connectionpool.py | https://huggingface.co:443 "HEAD /spaces/evaluate-metric/bleu/resolve/v0.4.0/tokenizer_13a.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:43:57,454 | connectionpool.py | Starting new HTTPS connection (1): s3.amazonaws.com:443
DEBUG | 2023-02-05 15:43:57,659 | connectionpool.py | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/metrics/evaluate-metric/rouge/evaluate-metric/rouge.py HTTP/1.1" 404 0
DEBUG | 2023-02-05 15:43:57,664 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:43:57,894 | connectionpool.py | https://huggingface.co:443 "HEAD /spaces/evaluate-metric/rouge/resolve/v0.4.0/rouge.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:44:00,649 | _api.py | Attempting to acquire lock 140230234169600 on /tmp/tmp8yaku03o/vocabulary/.lock
DEBUG | 2023-02-05 15:44:00,649 | _api.py | Lock 140230234169600 acquired on /tmp/tmp8yaku03o/vocabulary/.lock
DEBUG | 2023-02-05 15:44:00,649 | _api.py | Attempting to release lock 140230234169600 on /tmp/tmp8yaku03o/vocabulary/.lock
DEBUG | 2023-02-05 15:44:00,649 | _api.py | Lock 140230234169600 released on /tmp/tmp8yaku03o/vocabulary/.lock
DEBUG | 2023-02-05 15:44:00,652 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:44:00,854 | connectionpool.py | https://huggingface.co:443 "HEAD /microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext/resolve/main/config.json HTTP/1.1" 200 0
